Konten,cleaned_text,tokens,stemmed_tokens,stemmed_text
"Peneliti UGM dan startup Algatech Nusantara mengembangkan ""pohon elektronik"" mikroalga untuk menyerap karbon di ruang terbuka.",peneliti ugm  startup algatech nusantara mengembangkan pohon elektronik mikroalga untuk menyerap karbon  ruang terbuka,"['peneliti', 'ugm', 'startup', 'algatech', 'nusantara', 'mengembangkan', 'pohon', 'elektronik', 'mikroalga', 'menyerap', 'karbon', 'ruang', 'terbuka']","['teliti', 'ugm', 'startup', 'algatech', 'nusantara', 'kembang', 'pohon', 'elektronik', 'mikroalga', 'serap', 'karbon', 'ruang', 'buka']",teliti ugm startup algatech nusantara kembang pohon elektronik mikroalga serap karbon ruang buka
Dinas Lingkungan Hidup Jakarta gelar Forum DLH Aglomerasi pada Kamis 27 Juni 2024. Jakarta siap uji emisi keliling Jabodetabek. Tuntut imbalan apa?,dinas lingkungan hidup jakarta gelar forum dlh aglomerasi pada kamis juni jakarta siap uji emisi keliling jabodetabek tuntut imbalan apa,"['dinas', 'lingkungan', 'hidup', 'jakarta', 'gelar', 'forum', 'dlh', 'aglomerasi', 'kamis', 'juni', 'jakarta', 'uji', 'emisi', 'keliling', 'jabodetabek', 'tuntut', 'imbalan']","['dinas', 'lingkung', 'hidup', 'jakarta', 'gelar', 'forum', 'dlh', 'aglomerasi', 'kamis', 'juni', 'jakarta', 'uji', 'emisi', 'keliling', 'jabodetabek', 'tuntut', 'imbal']",dinas lingkung hidup jakarta gelar forum dlh aglomerasi kamis juni jakarta uji emisi keliling jabodetabek tuntut imbal
Pada Kamis siang seluruh kawasan Jakarta berawan.,pada kamis siang seluruh kawasan jakarta berawan,"['kamis', 'siang', 'kawasan', 'jakarta', 'berawan']","['kamis', 'siang', 'kawasan', 'jakarta', 'awan']",kamis siang kawasan jakarta awan
Kualitas udara Jakarta buruk. Dokter anak menyarankan orang tua memberi banyak buah kaya air pada anak di perkotaan dengan polusi udara tinggi.,kualitas udara jakarta buruk dokter anak menyarankan orang tua memberi banyak buah kaya air pada anak  perkotaan dengan polusi udara tinggi,"['kualitas', 'udara', 'jakarta', 'buruk', 'dokter', 'anak', 'menyarankan', 'orang', 'tua', 'buah', 'kaya', 'air', 'anak', 'perkotaan', 'polusi', 'udara']","['kualitas', 'udara', 'jakarta', 'buruk', 'dokter', 'anak', 'saran', 'orang', 'tua', 'buah', 'kaya', 'air', 'anak', 'kota', 'polusi', 'udara']",kualitas udara jakarta buruk dokter anak saran orang tua buah kaya air anak kota polusi udara
Polusi udara Jakarta yang memburuk menyebabkan munculnya banyak partikel berbahaya sehingga meningkatkan risiko anak terkena berbagai macam penyakit.,polusi udara jakarta  memburuk menyebabkan munculnya banyak partikel berbahaya sehingga meningkatkan risiko anak terkena berbagai macam penyakit,"['polusi', 'udara', 'jakarta', 'memburuk', 'menyebabkan', 'munculnya', 'partikel', 'berbahaya', 'meningkatkan', 'risiko', 'anak', 'terkena', 'penyakit']","['polusi', 'udara', 'jakarta', 'buruk', 'sebab', 'muncul', 'partikel', 'bahaya', 'tingkat', 'risiko', 'anak', 'kena', 'sakit']",polusi udara jakarta buruk sebab muncul partikel bahaya tingkat risiko anak kena sakit
KLHK Setop Operasional 3 Perusahaan Penyebab Polusi Udara Jabodetabek,klhk setop operasional perusahaan penyebab polusi udara jabodetabek,"['klhk', 'setop', 'operasional', 'perusahaan', 'penyebab', 'polusi', 'udara', 'jabodetabek']","['klhk', 'setop', 'operasional', 'usaha', 'sebab', 'polusi', 'udara', 'jabodetabek']",klhk setop operasional usaha sebab polusi udara jabodetabek
Semarang Jadi Pelopor Terapkan Alat Pemantau Kualitas Udara Mobile,semarang jadi pelopor terapkan alat pemantau kualitas udara mobile,"['semarang', 'pelopor', 'terapkan', 'alat', 'pemantau', 'kualitas', 'udara', 'mobile']","['semarang', 'pelopor', 'terap', 'alat', 'pantau', 'kualitas', 'udara', 'mobile']",semarang pelopor terap alat pantau kualitas udara mobile
Kualitas Udara Jakarta Jadi yang Terburuk ke-4 di Dunia Sabtu Pagi,kualitas udara jakarta jadi  terburuk ke  dunia sabtu pagi,"['kualitas', 'udara', 'jakarta', 'terburuk', 'dunia', 'sabtu', 'pagi']","['kualitas', 'udara', 'jakarta', 'buruk', 'dunia', 'sabtu', 'pagi']",kualitas udara jakarta buruk dunia sabtu pagi
FOTO: Roma Berselimut Debu-debu Merah dari Sahara,foto roma berselimut debudebu merah dari sahara,"['foto', 'roma', 'berselimut', 'debudebu', 'merah', 'sahara']","['foto', 'roma', 'selimut', 'debudebu', 'merah', 'sahara']",foto roma selimut debudebu merah sahara
Tangsel Jawara Polusi Udara RI 2023 Kalahkan Jakarta,tangsel jawara polusi udara ri kalahkan jakarta,"['tangsel', 'jawara', 'polusi', 'udara', 'ri', 'kalahkan', 'jakarta']","['tangsel', 'jawara', 'polusi', 'udara', 'ri', 'kalah', 'jakarta']",tangsel jawara polusi udara ri kalah jakarta
Bangladesh Juara Dunia Polusi Udara 2023,bangladesh juara dunia polusi udara,"['bangladesh', 'juara', 'dunia', 'polusi', 'udara']","['bangladesh', 'juara', 'dunia', 'polusi', 'udara']",bangladesh juara dunia polusi udara
